"GEO.id2","GEO.display-label","PopEstimate","Year","Median household income (dollars)","Percent workers commuting by public transportation","Percent population unemployed","Percent no health insurance coverage","Percent income below poverty level","gdp","CENTLAT","CENTLON","INTPTLAT","INTPTLON","UA","UANAME","UAPOP","UZA","UZA Area SQ Miles","UZA Name","UPTs","VRMs","VRHs","Total_Stations_2017","Total_Funding","Federal_Funding","State_Funding","Local_Funding","Other_Funding"
10140,"Aberdeen, WA Micro Area",71335,2007,42402,0.8,6.3,NA,NA,NA,47.1439499,-123.8276082,47.1137324,-123.8267349,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
10180,"Abilene, TX Metro Area",159439,2007,39369,0.4,1.8,NA,NA,5625.7,32.449366,-99.7171399,32.4520222,-99.7187428,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
10300,"Adrian, MI Micro Area",101243,2007,50240,0.4,5.7,NA,NA,NA,41.895045,-84.0663824,41.8960225,-84.0743563,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
10420,"Akron, OH Metro Area",699356,2007,47898,1.3,4.7,NA,NA,28460.7,41.1487039,-81.3496504,41.1466395,-81.3501104,"17668","Cleveland, OH Urbanized Area",1780673,25,772,"Cleveland, OH",61839847,29536202,2230863,468,339981667,79906649,12968490,200008925,339981667
10420,"Akron, OH Metro Area",699356,2007,47898,1.3,4.7,NA,NA,28460.7,41.1487039,-81.3496504,41.1466395,-81.3501104,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
10500,"Albany, GA Metro Area",162767,2007,36402,0.7,7.4,NA,NA,4774.3,31.5893916,-84.173913,31.5893026,-84.1749127,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
10540,"Albany-Lebanon, OR Micro Area",113264,2007,44397,0.1,3.9,NA,NA,3333.3,44.4890538,-122.5348037,44.4888982,-122.5372084,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
10580,"Albany-Schenectady-Troy, NY Metro Area",853358,2007,55129,3,3.2,NA,NA,40150.9,42.7880423,-73.9426862,42.7879202,-73.9423479,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
10700,"Albertville, AL Micro Area",87644,2007,34153,0.5,2.4,NA,NA,NA,34.3668764,-86.3066384,34.3095637,-86.3216681,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
10740,"Albuquerque, NM Metro Area",832774,2007,45325,1.6,3.5,NA,NA,36341.4,35.1202363,-106.4669011,35.1234965,-106.4583918,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
10780,"Alexandria, LA Metro Area",148925,2007,37180,1.1,4.2,NA,NA,4882.4,31.3301151,-92.5418429,31.3253478,-92.5468034,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
10880,"Allegan, MI Micro Area",112761,2007,50730,0.2,5.2,NA,NA,NA,42.5943298,-86.2917639,42.5957875,-86.6347446,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",803844,2007,55038,2.2,3.6,NA,NA,31892.4,40.7894175,-75.4039507,40.7893392,-75.398158,"63217","New York--Newark, NY--NJ--CT Urbanized Area",18351295,1,3450,"New York-Newark, NY-NJ-CT",4002339253,896885249,56730568,5346,15920894224,2123020241,3654576741,4399767159,15920894224
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",803844,2007,55038,2.2,3.6,NA,NA,31892.4,40.7894175,-75.4039507,40.7893392,-75.398158,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
11020,"Altoona, PA Metro Area",125527,2007,42509,1.3,4.9,NA,NA,4241.2,40.4808213,-78.3487515,40.4979217,-78.3106362,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
