"msa_id","msa_name","pop_estimate_msa","year","median_household_income_msa","percent_commuting_msa","percent_unemployed_msa","percent_no_insurance_msa","percent_below_poverty_level","gdp_msa","intptlat","intptlon","ua_census_id","ua_sq_miles_2010","ua_fta_name","transit_modes","total_transit_expenses","total_fares","directional_route_miles","vehicle_hours","vehicle_miles","passenger_miles","passenger_trips","total_stations_2017","total_funding","federal_funding","state_funding","local_funding","other_funding","per_capita_gdp","pmt_per_vrm","pmt_per_vrh","per_capita_vrm","per_capita_vrh","per_capita_pmt","per_capita_upt"
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5271550,2007,57189,3.3,5.1,NA,NA,279937700000,33.6952909,-84.4389425,"03817",2645,"Atlanta, GA","Other",21241356,2201308,0,440378,10250721,38757005,1496328,NA,711348059,100738079,10341427,446073989,154194564,53103.4894860146,3.78090526510282,88.0084949747717,1.94453642666768,0.0835386176741186,7.35210801377204,0.283849721618879
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5271550,2007,57189,3.3,5.1,NA,NA,279937700000,33.6952909,-84.4389425,"03817",2645,"Atlanta, GA","Rail",171626175,50462915,96.1,833235,21993495,541418734,77685887,190,711348059,100738079,10341427,446073989,154194564,53103.4894860146,24.6172213193037,649.779154740259,4.17211161802506,0.158062619153759,102.705795069761,14.7368206694426
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5271550,2007,57189,3.3,5.1,NA,NA,279937700000,33.6952909,-84.4389425,"03817",2645,"Atlanta, GA","Bus",218956588,60209427,2971.8,2312730,30650518,314987650,77459769,101,711348059,100738079,10341427,446073989,154194564,53103.4894860146,10.2767480145034,136.197329562898,5.81432747484137,0.43871916229572,59.7523783327484,14.6939266439662
12420,"Austin-Round Rock, TX Metro Area",1593400,2007,56746,3,3.8,NA,NA,81395800000,NA,NA,"04384",523,"Austin, TX","Bus",107292793,11015534,1680,1086772,13755187,125599690,33040661,88,183163716,15863992,995290,140492532,25811902,51083.0927576252,9.131078334304,115.571334189692,8.63260135559182,0.682045939500439,78.8249592067278,20.7359489142714
12420,"Austin-Round Rock, TX Metro Area",1593400,2007,56746,3,3.8,NA,NA,81395800000,NA,NA,"04384",523,"Austin, TX","Rail",0,0,0,0,0,0,0,99,183163716,15863992,995290,140492532,25811902,51083.0927576252,NA,NA,0,0,0,0
12420,"Austin-Round Rock, TX Metro Area",1593400,2007,56746,3,3.8,NA,NA,81395800000,NA,NA,"04384",523,"Austin, TX","Other",27100657,682241,0,337978,5890303,10991754,998977,NA,183163716,15863992,995290,140492532,25811902,51083.0927576252,1.8660761594098,32.5220990715372,3.69668821388226,0.212111208736036,6.89830174469687,0.626946780469436
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877200000,39.304361,-76.5495009,"92242",1322,"Washington, DC-VA-MD","Other",64405697,3334725,0,1380063,16688138,17874314,1725967,NA,2245893048,270534265,331974678,849969183,793414922,53176.2451762632,1.0710789903583,12.9518101709849,6.25479300284552,0.517254135595355,6.69937737438794,0.646900589792718
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877200000,39.304361,-76.5495009,"92242",1322,"Washington, DC-VA-MD","Rail",742527833,424523346,373.3,2692728,68800595,1693546306,279827667,493,2245893048,270534265,331974678,849969183,793414922,53176.2451762632,24.6152857544328,628.933299612883,25.7867882083435,1.00924718221806,634.749160437412,104.880732263491
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877200000,39.304361,-76.5495009,"92242",1322,"Washington, DC-VA-MD","Bus",664405542,138400870,6125.4,5476105,66460650,662784732,182753015,126,2245893048,270534265,331974678,849969183,793414922,53176.2451762632,9.97258877245408,121.032144562604,24.909765762038,2.05247003811014,248.414850362961,68.4966938475055
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877200000,39.304361,-76.5495009,"04843",717,"Baltimore, MD","Bus",252086684,73017321,2299.5,1898394,25077663,353413793,80946817,12,579747335,96223780,342991918,11129406,129402231,53176.2451762632,14.0927722411773,186.164617566216,9.39922662792685,0.711527044409862,132.461160110582,30.3392496259449
