UA,NAME,UA00,UA00NAME,POPPT,HUPT,AREAPT,AREALANDPT,UAPOP,UAHU,UAAREA,UAAREALAND,UA00POP,UA00HU,UA00AREA,UA00AREALAND,UAPOPPCT,UAHUPCT,UAAREAPCT,UAAREALANDPCT,UA00POPPCT,UA00HUPCT,UA00AREAPCT,UA00AREALANDPCT
00037,"Abbeville, LA",00037,"Abbeville, LA",15760,6866,20517534,20517534,19824,8460,29523368,29222871,16399,7129,27228047,27228047,79.50,81.16,69.50,70.21,96.10,96.31,75.35,75.35
00037,"Abbeville, LA",99999,"Not in a 2000 urban area",4064,1594,9005834,8705337,19824,8460,29523368,29222871,,,,,20.50,18.84,30.50,29.79,,,,
00064,"Abbeville, SC",00064,"Abbeville, SC",5137,2529,10596227,10576441,5243,2578,11334983,11315197,5315,2620,12489941,12467619,97.98,98.10,93.48,93.47,96.65,96.53,84.84,84.83
00064,"Abbeville, SC",99999,"Not in a 2000 urban area",106,49,738756,738756,5243,2578,11334983,11315197,,,,,2.02,1.90,6.52,6.53,,,,
00091,"Abbotsford, WI",00091,"Abbotsford, WI",3755,1533,4016326,4016326,3966,1616,5376662,5363441,3781,1553,4576036,4576036,94.68,94.86,74.70,74.88,99.31,98.71,87.77,87.77
00091,"Abbotsford, WI",99999,"Not in a 2000 urban area",211,83,1360336,1347115,3966,1616,5376662,5363441,,,,,5.32,5.14,25.30,25.12,,,,
00118,"Aberdeen, MS",00118,"Aberdeen, MS",4644,2035,6893089,6840357,4666,2050,7469348,7416616,5128,2243,12647946,12549543,99.53,99.27,92.29,92.23,90.56,90.73,54.50,54.51
00118,"Aberdeen, MS",99999,"Not in a 2000 urban area",22,15,576259,576259,4666,2050,7469348,7416616,,,,,0.47,0.73,7.71,7.77,,,,
00145,"Aberdeen, SD",00145,"Aberdeen, SD",25138,11730,20483754,20479916,25977,12114,33250044,33002447,25138,11730,21000183,20996345,96.77,96.83,61.61,62.06,100.00,100.00,97.54,97.54
00145,"Aberdeen, SD",99999,"Not in a 2000 urban area",839,384,12766290,12522531,25977,12114,33250044,33002447,,,,,3.23,3.17,38.39,37.94,,,,
00172,"Aberdeen, WA",00172,"Aberdeen, WA",26519,11701,27192557,27094731,29856,13139,41927640,39997951,26803,11814,32541336,31959206,88.82,89.06,64.86,67.74,98.94,99.04,83.56,84.78
00172,"Aberdeen, WA",58465,"Montesano, WA",3045,1323,6686189,6677765,29856,13139,41927640,39997951,7518,3232,15506163,15382390,10.20,10.07,15.95,16.70,40.50,40.93,43.12,43.41
00172,"Aberdeen, WA",99999,"Not in a 2000 urban area",292,115,8048894,6225455,29856,13139,41927640,39997951,,,,,0.98,0.88,19.20,15.56,,,,
00199,"Aberdeen--Bel Air South--Bel Air North, MD",00199,"Aberdeen--Havre de Grace--Bel Air, MD",188771,74598,238802063,237287558,213751,83721,349451754,339626464,191731,75779,264850557,263169012,88.31,89.10,68.34,69.87,98.46,98.44,90.16,90.17
00199,"Aberdeen--Bel Air South--Bel Air North, MD",04843,"Baltimore, MD",4347,1541,12960076,12917078,213751,83721,349451754,339626464,2167869,925201,1774280330,1765107809,2.03,1.84,3.71,3.80,0.20,0.17,0.73,0.73
00199,"Aberdeen--Bel Air South--Bel Air North, MD",99999,"Not in a 2000 urban area",20633,7582,97689615,89421828,213751,83721,349451754,339626464,,,,,9.65,9.06,27.96,26.33,,,,
00226,"Abernathy, TX",00226,"Abernathy, TX",2757,1112,2686133,2677566,2785,1124,3063681,3051109,2791,1126,4821531,4812964,98.99,98.93,87.68,87.76,98.78,98.76,55.71,55.63
00226,"Abernathy, TX",99999,"Not in a 2000 urban area",28,12,377548,373543,2785,1124,3063681,3051109,,,,,1.01,1.07,12.32,12.24,,,,
00253,"Abilene, KS",00253,"Abilene, KS",6799,3142,7409007,7407130,7054,3238,8775140,8773263,6799,3143,7513167,7511290,96.39,97.04,84.43,84.43,100.00,99.97,98.61,98.61
00253,"Abilene, KS",99999,"Not in a 2000 urban area",255,96,1366133,1366133,7054,3238,8775140,8773263,,,,,3.61,2.96,15.57,15.57,,,,
00280,"Abilene, TX",00280,"Abilene, TX",103604,44205,113019696,112062455,110421,46732,142744247,141756054,104146,44411,124552794,123570096,93.83,94.59,79.18,79.05,99.48,99.54,90.74,90.69
00280,"Abilene, TX",99999,"Not in a 2000 urban area",6817,2527,29724551,29693599,110421,46732,142744247,141756054,,,,,6.17,5.41,20.82,20.95,,,,
00334,"Abingdon, IL",00334,"Abingdon, IL",3370,1474,3613015,3613015,3389,1483,3731303,3731303,3380,1479,5787426,5787426,99.44,99.39,96.83,96.83,99.70,99.66,62.43,62.43
00334,"Abingdon, IL",99999,"Not in a 2000 urban area",19,9,118288,118288,3389,1483,3731303,3731303,,,,,0.56,0.61,3.17,3.17,,,,
00388,"Ada, OH",00388,"Ada, OH",5927,1897,4413986,4413986,5945,1906,4769036,4769036,6011,1940,6482158,6482158,99.70,99.53,92.56,92.56,98.60,97.78,68.09,68.09
00388,"Ada, OH",99999,"Not in a 2000 urban area",18,9,355050,355050,5945,1906,4769036,4769036,,,,,0.30,0.47,7.44,7.44,,,,
00415,"Ada, OK",00415,"Ada, OK",16400,7666,25222840,25222840,17400,8086,31003046,30913906,16799,7845,28444929,28444929,94.25,94.81,81.36,81.59,97.62,97.72,88.67,88.67
00415,"Ada, OK",99999,"Not in a 2000 urban area",1000,420,5780206,5691066,17400,8086,31003046,30913906,,,,,5.75,5.19,18.64,18.41,,,,
00450,"Adams, NY",99999,"Not in a 2000 urban area",2542,1100,5121210,5107296,2542,1100,5121210,5107296,,,,,100.00,100.00,100.00,100.00,,,,
