"msa_id","msa_name","pop_estimate_msa","year","median_household_income_msa","percent_commuting_msa","percent_unemployed_msa","percent_no_insurance_msa","percent_below_poverty_level","gdp_msa","intptlat","intptlon","ua_census_id","ua_sq_miles_2010","ua_fta_name","transit_modes","total_transit_expenses","total_fares","directional_route_miles","vehicle_hours","vehicle_miles","passenger_miles","passenger_trips","total_stations_2017","total_funding","federal_funding","state_funding","local_funding","other_funding","per_capita_gdp","pmt_per_vrm","pmt_per_vrh","upt_per_vrh","per_capita_vrm","per_capita_vrh","per_capita_pmt","per_capita_upt","recovery_ratio","fares_per_upt","cost_per_hour","cost_per_trip","cost_per_pmt"
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5271550,2007,57189,3.3,5.1,NA,NA,279937700000,33.6952909,-84.4389425,"03817",2645,"Atlanta, GA","Other",21241356,2201308,0,440378,10250721,38757005,1496328,NA,711348059,100738079,10341427,446073989,154194564,53103.4894860146,3.78090526510282,88.0084949747717,3.39782641276358,1.94453642666768,0.0835386176741186,7.35210801377204,0.283849721618879,0.103633120220762,1.47114001742933,48.23437138095,14.1956549633503,0.548064949807138
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5271550,2007,57189,3.3,5.1,NA,NA,279937700000,33.6952909,-84.4389425,"03817",2645,"Atlanta, GA","Rail",171626175,50462915,96.1,833235,21993495,541418734,77685887,190,711348059,100738079,10341427,446073989,154194564,53103.4894860146,24.6172213193037,649.779154740259,93.2340660197903,4.17211161802506,0.158062619153759,102.705795069761,14.7368206694426,0.294028081672274,0.649576350978653,205.975715134386,2.20923235387658,0.316993417889378
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5271550,2007,57189,3.3,5.1,NA,NA,279937700000,33.6952909,-84.4389425,"03817",2645,"Atlanta, GA","Bus",218956588,60209427,2971.8,2312730,30650518,314987650,77459769,101,711348059,100738079,10341427,446073989,154194564,53103.4894860146,10.2767480145034,136.197329562898,33.4927851500175,5.81432747484137,0.43871916229572,59.7523783327484,14.6939266439662,0.274983399905738,0.777299335865564,94.6745136699917,2.82671367119621,0.695127532777872
12420,"Austin-Round Rock, TX Metro Area",1593400,2007,56746,3,3.8,NA,NA,81395800000,NA,NA,"04384",523,"Austin, TX","Bus",107292793,11015534,1680,1086772,13755187,125599690,33040661,88,183163716,15863992,995290,140492532,25811902,51083.0927576252,9.131078334304,115.571334189692,30.4025692601576,8.63260135559182,0.682045939500439,78.8249592067278,20.7359489142714,0.102667976962814,0.333393269583802,98.7261293077113,3.24729559738529,0.854244090889078
12420,"Austin-Round Rock, TX Metro Area",1593400,2007,56746,3,3.8,NA,NA,81395800000,NA,NA,"04384",523,"Austin, TX","Rail",0,0,0,0,0,0,0,99,183163716,15863992,995290,140492532,25811902,51083.0927576252,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA
12420,"Austin-Round Rock, TX Metro Area",1593400,2007,56746,3,3.8,NA,NA,81395800000,NA,NA,"04384",523,"Austin, TX","Other",27100657,682241,0,337978,5890303,10991754,998977,NA,183163716,15863992,995290,140492532,25811902,51083.0927576252,1.8660761594098,32.5220990715372,2.95574564024877,3.69668821388226,0.212111208736036,6.89830174469687,0.626946780469436,0.0251743343344038,0.682939647259146,80.1846777009154,27.1284093627781,2.46554435261197
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877200000,39.304361,-76.5495009,"92242",1322,"Washington, DC-VA-MD","Other",64405697,3334725,0,1380063,16688138,17874314,1725967,NA,2245893048,270534265,331974678,849969183,793414922,53176.2451762632,1.0710789903583,12.9518101709849,1.25064363003718,6.25479300284552,0.517254135595355,6.69937737438794,0.646900589792718,0.0517768637765072,1.93209082213043,46.6686644015527,37.3157175079245,3.60325420041295
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877200000,39.304361,-76.5495009,"92242",1322,"Washington, DC-VA-MD","Rail",742527833,424523346,373.3,2692728,68800595,1693546306,279827667,493,2245893048,270534265,331974678,849969183,793414922,53176.2451762632,24.6152857544328,628.933299612883,103.919767239766,25.7867882083435,1.00924718221806,634.749160437412,104.880732263491,0.571727182649596,1.5170885372103,275.753003274003,2.65351829202793,0.438445544930969
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877200000,39.304361,-76.5495009,"92242",1322,"Washington, DC-VA-MD","Bus",664405542,138400870,6125.4,5476105,66460650,662784732,182753015,126,2245893048,270534265,331974678,849969183,793414922,53176.2451762632,9.97258877245408,121.032144562604,33.3728106016959,24.909765762038,2.05247003811014,248.414850362961,68.4966938475055,0.208307819924837,0.757311007974342,121.328123182444,3.63553806212171,1.00244545464273
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877200000,39.304361,-76.5495009,"04843",717,"Baltimore, MD","Bus",252086684,73017321,2299.5,1898394,25077663,353413793,80946817,12,579747335,96223780,342991918,11129406,129402231,53176.2451762632,14.0927722411773,186.164617566216,42.6396296027063,9.39922662792685,0.711527044409862,132.461160110582,30.3392496259449,0.289651638243613,0.902040669492909,132.789444130144,3.1142260232419,0.713290451569897
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877200000,39.304361,-76.5495009,"04843",717,"Baltimore, MD","Rail",167196932,49904006,487.4,454226,12530937,335486624,27404650,801,579747335,96223780,342991918,11129406,129402231,53176.2451762632,26.7726686360326,738.589653608556,60.3326317736105,4.6966544180482,0.170246051807009,125.741972432363,10.2713923545833,0.298474412197946,1.82100504841332,368.091945419241,6.10104241433479,0.498371380672393
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877200000,39.304361,-76.5495009,"04843",717,"Baltimore, MD","Other",51138790,1488719,0,826455,11128038,9823662,1316707,10,579747335,96223780,342991918,11129406,129402231,53176.2451762632,0.882784728089534,11.8865056173657,1.59319866175412,4.17084124171307,0.309759240435733,3.68195495147028,0.493508007328182,0.0291113458100984,1.13063802349346,61.8772830946634,38.8383976085796,5.20567482879602
13820,"Birmingham-Hoover, AL Metro Area",1106765,2007,47196,0.6,4.2,NA,NA,52588700000,33.4623718,-86.8143378,"07786",530,"Birmingham, AL","Other",3695941,136883,0,71549,1070813,912751,129422,NA,24228227,10123283,0,11483541,2621403,47515.6876120947,0.852390660180629,12.7570056884093,1.80885826496527,0.967516139379182,0.0646469666098946,0.824701720780834,0.116937199857242,0.0370360349367049,1.05764862233623,51.6560818460076,28.5572854692402,4.04923248509177
13820,"Birmingham-Hoover, AL Metro Area",1106765,2007,47196,0.6,4.2,NA,NA,52588700000,33.4623718,-86.8143378,"07786",530,"Birmingham, AL","Bus",19322604,2245640,789.2,231342,2867445,16152454,3124269,4,24228227,10123283,0,11483541,2621403,47515.6876120947,5.63304753883684,69.820672424376,13.5049796405322,2.59083454933974,0.2090254028633,14.5942941816917,2.8228838100229,0.116218290247008,0.718772935365041,83.5239774878751,6.18468000034568,1.19626429519626
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193200000,42.517606,-71.0219925,"09271",1873,"Boston, MA-NH-RI","Rail",609102705,313523894,829.4,2751384,49547438,1481154881,252648173,2660,1831697637,173878138,681464157,504499715,471855627,69195.4260419192,29.8936724235873,538.330847675206,91.8258494633973,11.0526474522832,0.613756807321759,330.404222351951,56.3587401962632,0.514730753001663,1.24095056883708,221.38047797036,2.41087318292224,0.411234984817229
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193200000,42.517606,-71.0219925,"09271",1873,"Boston, MA-NH-RI","Other",67880560,10376452,38.4,1196643,15333080,35430240,3352655,90,1831697637,173878138,681464157,504499715,471855627,69195.4260419192,2.31070600296874,29.6080284596158,2.80171696988993,3.42038124347933,0.266937580208336,7.90349547174938,0.74788354837105,0.152863382388124,3.09499545882293,56.7258238254851,20.2468073810159,1.91589331599221
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193200000,42.517606,-71.0219925,"09271",1873,"Boston, MA-NH-RI","Bus",343919004,77591428,3525.8,2875692,31481760,247930155,108192122,700,1831697637,173878138,681464157,504499715,471855627,69195.4260419192,7.8753587791788,86.2158238782178,37.6229867454512,7.02270003259082,0.641486444916713,55.3062823552034,24.1346360144881,0.225609597310883,0.717163380897548,119.59521534295,3.17878046610455,1.38716084777989
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193200000,42.517606,-71.0219925,"09271",1873,"Houston, TX","Other",67880560,10376452,38.4,1196643,15333080,35430240,3352655,90,1831697637,173878138,681464157,504499715,471855627,69195.4260419192,2.31070600296874,29.6080284596158,2.80171696988993,3.42038124347933,0.266937580208336,7.90349547174938,0.74788354837105,0.152863382388124,3.09499545882293,56.7258238254851,20.2468073810159,1.91589331599221
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193200000,42.517606,-71.0219925,"09271",1873,"Houston, TX","Bus",343919004,77591428,3525.8,2875692,31481760,247930155,108192122,700,1831697637,173878138,681464157,504499715,471855627,69195.4260419192,7.8753587791788,86.2158238782178,37.6229867454512,7.02270003259082,0.641486444916713,55.3062823552034,24.1346360144881,0.225609597310883,0.717163380897548,119.59521534295,3.17878046610455,1.38716084777989
