"msa_id","msa_name","pop_estimate_msa","year","median_household_income_msa","percent_workers_commuting_by_public_transit_msa","percent_unemployed_msa","percent_no_insurance_msa","percent_below_poverty_level","gdp_msa","centlat","centlon","intptlat","intptlon","ua_census_id","ua_pop_2010","ua_sq_miles_2010","ua_fta_name","transit_modes","passenger_trips","vehicle_miles","vehicle_hours","total_stations_2017","total_funding","federal_funding","state_funding","local_funding","other_funding"
10420,"Akron, OH Metro Area",699356,2007,47898,1.3,4.7,NA,NA,28460700000,41.1487039,-81.3496504,41.1466395,-81.3501104,"17668",1780673,772,"Cleveland, OH","Non-Rail Other",827448,5799706,376310,468,339981667,79906649,12968490,200008925,339981667
10420,"Akron, OH Metro Area",699356,2007,47898,1.3,4.7,NA,NA,28460700000,41.1487039,-81.3496504,41.1466395,-81.3501104,"17668",1780673,772,"Cleveland, OH","Rail",11473951,2511542,134466,468,339981667,79906649,12968490,200008925,339981667
10420,"Akron, OH Metro Area",699356,2007,47898,1.3,4.7,NA,NA,28460700000,41.1487039,-81.3496504,41.1466395,-81.3501104,"17668",1780673,772,"Cleveland, OH","Non-Rail Bus",49538448,21224954,1720087,468,339981667,79906649,12968490,200008925,339981667
10420,"Akron, OH Metro Area",699356,2007,47898,1.3,4.7,NA,NA,28460700000,41.1487039,-81.3496504,41.1466395,-81.3501104,"00766",569499,325,"Akron, OH","Non-Rail Bus",6501325,5064172,315947,14,42350081,9750641,1668035,23554189,42350081
10420,"Akron, OH Metro Area",699356,2007,47898,1.3,4.7,NA,NA,28460700000,41.1487039,-81.3496504,41.1466395,-81.3501104,"00766",569499,325,"Akron, OH","Non-Rail Other",352310,2422268,191584,14,42350081,9750641,1668035,23554189,42350081
10420,"Akron, OH Metro Area",699356,2007,47898,1.3,4.7,NA,NA,28460700000,41.1487039,-81.3496504,41.1466395,-81.3501104,"97831",387550,241,"Youngstown, OH-PA","Non-Rail Other",113182,830154,48323,2,6794144,1679806,633554,3415107,6794144
10420,"Akron, OH Metro Area",699356,2007,47898,1.3,4.7,NA,NA,28460700000,41.1487039,-81.3496504,41.1466395,-81.3501104,"97831",387550,241,"Youngstown, OH-PA","Non-Rail Bus",1247314,925980,61507,2,6794144,1679806,633554,3415107,6794144
10420,"Akron, OH Metro Area",699356,2007,47898,1.3,4.7,NA,NA,28460700000,41.1487039,-81.3496504,41.1466395,-81.3501104,"13375",279245,166,"Canton, OH","Non-Rail Other",156550,1321791,74708,8,17381851,3804317,452127,11897832,17381851
10420,"Akron, OH Metro Area",699356,2007,47898,1.3,4.7,NA,NA,28460700000,41.1487039,-81.3496504,41.1466395,-81.3501104,"13375",279245,166,"Canton, OH","Non-Rail Bus",2113454,2539611,165492,8,17381851,3804317,452127,11897832,17381851
10580,"Albany-Schenectady-Troy, NY Metro Area",853358,2007,55129,3,3.2,NA,NA,40150900000,42.7880423,-73.9426862,42.7879202,-73.9423479,"00970",594962,296,"Albany-Schenectady, NY","Non-Rail Bus",13180680,7014552,609179,0,61528047,7317369,27950990,15292112,61528047
10580,"Albany-Schenectady-Troy, NY Metro Area",853358,2007,55129,3,3.2,NA,NA,40150900000,42.7880423,-73.9426862,42.7879202,-73.9423479,"00970",594962,296,"Albany-Schenectady, NY","Non-Rail Other",186200,1557678,126526,0,61528047,7317369,27950990,15292112,61528047
10740,"Albuquerque, NM Metro Area",832774,2007,45325,1.6,3.5,NA,NA,36341400000,35.1202363,-106.4669011,35.1234965,-106.4583918,"01171",741318,251,"Albuquerque, NM","Non-Rail Other",193678,1843549,100571,114,48553310,8660988,0,33496571,48553310
10740,"Albuquerque, NM Metro Area",832774,2007,45325,1.6,3.5,NA,NA,36341400000,35.1202363,-106.4669011,35.1234965,-106.4583918,"01171",741318,251,"Albuquerque, NM","Non-Rail Bus",9791599,4901212,302922,114,48553310,8660988,0,33496571,48553310
10740,"Albuquerque, NM Metro Area",832774,2007,45325,1.6,3.5,NA,NA,36341400000,35.1202363,-106.4669011,35.1234965,-106.4583918,"01171",741318,251,"Albuquerque, NM","Rail",0,0,0,114,48553310,8660988,0,33496571,48553310
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",803844,2007,55038,2.2,3.6,NA,NA,31892400000,40.7894175,-75.4039507,40.7893392,-75.398158,"63217",18351295,3450,"New York-Newark, NY-NJ-CT","Non-Rail Other",28017089,66808979,5051223,5346,15920894224,2123020241,3654576741,4399767159,15920894224
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",803844,2007,55038,2.2,3.6,NA,NA,31892400000,40.7894175,-75.4039507,40.7893392,-75.398158,"63217",18351295,3450,"New York-Newark, NY-NJ-CT","Non-Rail Bus",1215294925,285389305,26288855,5346,15920894224,2123020241,3654576741,4399767159,15920894224
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",803844,2007,55038,2.2,3.6,NA,NA,31892400000,40.7894175,-75.4039507,40.7893392,-75.398158,"63217",18351295,3450,"New York-Newark, NY-NJ-CT","Rail",2759027239,544686965,25390490,5346,15920894224,2123020241,3654576741,4399767159,15920894224
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",803844,2007,55038,2.2,3.6,NA,NA,31892400000,40.7894175,-75.4039507,40.7893392,-75.398158,"01495",664651,346,"Allentown, PA-NJ","Non-Rail Other",456765,3372602,179200,9,28230348,12006307,11807407,801415,28230348
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",803844,2007,55038,2.2,3.6,NA,NA,31892400000,40.7894175,-75.4039507,40.7893392,-75.398158,"01495",664651,346,"Allentown, PA-NJ","Non-Rail Bus",4972842,2632454,202399,9,28230348,12006307,11807407,801415,28230348
11260,"Anchorage, AK Metro Area",362340,2007,67995,1.2,5.2,NA,NA,25528600000,62.2229015,-149.5703969,62.2127844,-149.6782218,"02305",251243,85,"Anchorage, AK","Non-Rail Other",325182,2150482,102813,19,44329757,11721149,5983945,16782494,44329757
11260,"Anchorage, AK Metro Area",362340,2007,67995,1.2,5.2,NA,NA,25528600000,62.2229015,-149.5703969,62.2127844,-149.6782218,"02305",251243,85,"Anchorage, AK","Non-Rail Bus",3988745,2318543,130183,19,44329757,11721149,5983945,16782494,44329757
11260,"Anchorage, AK Metro Area",362340,2007,67995,1.2,5.2,NA,NA,25528600000,62.2229015,-149.5703969,62.2127844,-149.6782218,"02305",251243,85,"Anchorage, AK","Rail",129834,133184,7246,19,44329757,11721149,5983945,16782494,44329757
11300,"Anderson, IN Metro Area",131312,2007,42783,0.2,5.3,NA,NA,NA,40.1614595,-85.7193464,40.166203,-85.7224543,"41212",1487483,706,"Indianapolis, IN","Non-Rail Other",303998,3215882,183187,4,53478059,12695527,9628888,19603051,53478059
11300,"Anderson, IN Metro Area",131312,2007,42783,0.2,5.3,NA,NA,NA,40.1614595,-85.7193464,40.166203,-85.7224543,"41212",1487483,706,"Indianapolis, IN","Non-Rail Bus",8386034,6168396,429674,4,53478059,12695527,9628888,19603051,53478059
11340,"Anderson, SC Metro Area",179981,2007,40778,0.4,5,NA,NA,NA,34.5188921,-82.6378703,34.521235,-82.6386029,"35461",400492,320,"Greenville, SC","Non-Rail Other",8315,66498,5378,3,5844843,1872917,459912,2659656,5844843
11340,"Anderson, SC Metro Area",179981,2007,40778,0.4,5,NA,NA,NA,34.5188921,-82.6378703,34.521235,-82.6386029,"35461",400492,320,"Greenville, SC","Non-Rail Bus",763992,621788,40909,3,5844843,1872917,459912,2659656,5844843
11460,"Ann Arbor, MI Metro Area",350003,2007,61049,3.5,4.4,NA,NA,19619300000,42.253195,-83.8387864,42.2522168,-83.8434233,"23824",3734090,1337,"Detroit, MI","Non-Rail Other",1032672,5548272,392517,38,331534865,56480573,98121992,133481512,331534865
11460,"Ann Arbor, MI Metro Area",350003,2007,61049,3.5,4.4,NA,NA,19619300000,42.253195,-83.8387864,42.2522168,-83.8434233,"23824",3734090,1337,"Detroit, MI","Non-Rail Bus",47143264,26228762,1788971,38,331534865,56480573,98121992,133481512,331534865
11460,"Ann Arbor, MI Metro Area",350003,2007,61049,3.5,4.4,NA,NA,19619300000,42.253195,-83.8387864,42.2522168,-83.8434233,"23824",3734090,1337,"Detroit, MI","Rail",0,0,0,38,331534865,56480573,98121992,133481512,331534865
11460,"Ann Arbor, MI Metro Area",350003,2007,61049,3.5,4.4,NA,NA,19619300000,42.253195,-83.8387864,42.2522168,-83.8434233,"02602",306022,160,"Ann Arbor, MI","Non-Rail Bus",11352970,3408072,283997,16,29683016,2828358,10442922,9825855,29683016
11460,"Ann Arbor, MI Metro Area",350003,2007,61049,3.5,4.4,NA,NA,19619300000,42.253195,-83.8387864,42.2522168,-83.8434233,"02602",306022,160,"Ann Arbor, MI","Non-Rail Other",170354,1260028,77716,16,29683016,2828358,10442922,9825855,29683016
11540,"Appleton, WI Metro Area",218026,2007,56846,0.5,3.5,NA,NA,9772400000,44.2885814,-88.3704812,44.2906032,-88.3723255,"02764",216154,104,"Appleton, WI","Non-Rail Other",139951,797658,53544,3,6788053,2256983,1791214,1575701,6788053
11540,"Appleton, WI Metro Area",218026,2007,56846,0.5,3.5,NA,NA,9772400000,44.2885814,-88.3704812,44.2906032,-88.3723255,"02764",216154,104,"Appleton, WI","Non-Rail Bus",1041144,1019793,64771,3,6788053,2256983,1791214,1575701,6788053
11700,"Asheville, NC Metro Area",402801,2007,43819,0.8,3.7,NA,NA,13557300000,35.6004225,-82.6824186,35.5956693,-82.6816145,"03358",280648,265,"Asheville, NC","Non-Rail Other",24006,197032,10757,3,5881670,2539538,834128,1864580,5881670
11700,"Asheville, NC Metro Area",402801,2007,43819,0.8,3.7,NA,NA,13557300000,35.6004225,-82.6824186,35.5956693,-82.6816145,"03358",280648,265,"Asheville, NC","Non-Rail Bus",1418678,898562,63524,3,5881670,2539538,834128,1864580,5881670
11780,"Ashtabula, OH Micro Area",101141,2007,39806,0.3,5.5,NA,NA,NA,41.8956694,-80.7590467,41.9066369,-80.7455916,"17668",1780673,772,"Cleveland, OH","Non-Rail Other",827448,5799706,376310,468,339981667,79906649,12968490,200008925,339981667
11780,"Ashtabula, OH Micro Area",101141,2007,39806,0.3,5.5,NA,NA,NA,41.8956694,-80.7590467,41.9066369,-80.7455916,"17668",1780673,772,"Cleveland, OH","Rail",11473951,2511542,134466,468,339981667,79906649,12968490,200008925,339981667
11780,"Ashtabula, OH Micro Area",101141,2007,39806,0.3,5.5,NA,NA,NA,41.8956694,-80.7590467,41.9066369,-80.7455916,"17668",1780673,772,"Cleveland, OH","Non-Rail Bus",49538448,21224954,1720087,468,339981667,79906649,12968490,200008925,339981667
12020,"Athens-Clarke County, GA Metro Area",188589,2007,40774,2.4,3,NA,NA,6477400000,33.9489106,-83.2138066,33.943984,-83.2138965,"03763",128754,98,"Athens-Clarke County, GA","Non-Rail Other",8861,73259,6400,4,4126992,1205898,56987,1389070,4126992
12020,"Athens-Clarke County, GA Metro Area",188589,2007,40774,2.4,3,NA,NA,6477400000,33.9489106,-83.2138066,33.943984,-83.2138965,"03763",128754,98,"Athens-Clarke County, GA","Non-Rail Bus",1557603,742221,62312,4,4126992,1205898,56987,1389070,4126992
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5271550,2007,57189,3.3,5.1,NA,NA,279937700000,33.6959847,-84.4375903,33.6952909,-84.4389425,"03817",4515419,2645,"Atlanta, GA","Non-Rail Other",1599116,10616188,467588,291,711348059,100738079,10341427,446073989,711348059
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5271550,2007,57189,3.3,5.1,NA,NA,279937700000,33.6959847,-84.4375903,33.6952909,-84.4389425,"03817",4515419,2645,"Atlanta, GA","Rail",81503410,22234488,836941,291,711348059,100738079,10341427,446073989,711348059
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5271550,2007,57189,3.3,5.1,NA,NA,279937700000,33.6959847,-84.4375903,33.6952909,-84.4389425,"03817",4515419,2645,"Atlanta, GA","Non-Rail Bus",73663371,33343246,2540652,291,711348059,100738079,10341427,446073989,711348059
12100,"Atlantic City, NJ Metro Area",270644,2007,55767,9.5,5.4,NA,NA,13318400000,NA,NA,NA,NA,"69076",5441567,1981,"Philadelphia, PA-NJ-DE-MD","Rail",163266117,42431936,1995048,2281,1481524618,330420988,615912060,95691125,1481524618
12100,"Atlantic City, NJ Metro Area",270644,2007,55767,9.5,5.4,NA,NA,13318400000,NA,NA,NA,NA,"69076",5441567,1981,"Philadelphia, PA-NJ-DE-MD","Non-Rail Other",2590209,18057800,1454068,2281,1481524618,330420988,615912060,95691125,1481524618
12100,"Atlantic City, NJ Metro Area",270644,2007,55767,9.5,5.4,NA,NA,13318400000,NA,NA,NA,NA,"69076",5441567,1981,"Philadelphia, PA-NJ-DE-MD","Non-Rail Bus",174016999,45783496,4282843,2281,1481524618,330420988,615912060,95691125,1481524618
12100,"Atlantic City, NJ Metro Area",270644,2007,55767,9.5,5.4,NA,NA,13318400000,NA,NA,NA,NA,"03898",248402,125,"Atlantic City, NJ","Non-Rail Other",0,0,0,0,0,0,0,0,0
12100,"Atlantic City, NJ Metro Area",270644,2007,55767,9.5,5.4,NA,NA,13318400000,NA,NA,NA,NA,"03898",248402,125,"Atlantic City, NJ","Non-Rail Bus",0,0,0,0,0,0,0,0,0
12260,"Augusta-Richmond County, GA-SC Metro Area",534641,2007,43843,0.8,3.8,NA,NA,18135800000,33.4347576,-81.9468613,33.4372126,-81.9561564,"04222",386787,260,"Augusta-Richmond County, GA-SC","Non-Rail Other",17746,105811,13026,4,3433852,0,0,2771336,3433852
12260,"Augusta-Richmond County, GA-SC Metro Area",534641,2007,43843,0.8,3.8,NA,NA,18135800000,33.4347576,-81.9468613,33.4372126,-81.9561564,"04222",386787,260,"Augusta-Richmond County, GA-SC","Non-Rail Bus",861964,544417,41480,4,3433852,0,0,2771336,3433852
12420,"Austin-Round Rock, TX Metro Area",1593400,2007,56746,3,3.8,NA,NA,81395800000,NA,NA,NA,NA,"04384",1362416,523,"Austin, TX","Non-Rail Bus",34579825,13976242,1080177,187,183163716,15863992,995290,140492532,183163716
12420,"Austin-Round Rock, TX Metro Area",1593400,2007,56746,3,3.8,NA,NA,81395800000,NA,NA,NA,NA,"04384",1362416,523,"Austin, TX","Rail",0,0,0,187,183163716,15863992,995290,140492532,183163716
12420,"Austin-Round Rock, TX Metro Area",1593400,2007,56746,3,3.8,NA,NA,81395800000,NA,NA,NA,NA,"04384",1362416,523,"Austin, TX","Non-Rail Other",999573,5817888,335715,187,183163716,15863992,995290,140492532,183163716
12540,"Bakersfield, CA Metro Area",790710,2007,47105,1.4,5.9,NA,NA,29969100000,NA,NA,NA,NA,"04681",523994,138,"Bakersfield, CA","Non-Rail Other",62847,449184,28326,6,21275496,4726323,0,11809246,21275496
12540,"Bakersfield, CA Metro Area",790710,2007,47105,1.4,5.9,NA,NA,29969100000,NA,NA,NA,NA,"04681",523994,138,"Bakersfield, CA","Non-Rail Bus",6595922,3428921,276643,6,21275496,4726323,0,11809246,21275496
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877200000,39.3050772,-76.550193,39.304361,-76.5495009,"92242",4586770,1322,"Washington, DC-VA-MD","Non-Rail Other",1691966,18128568,1495154,619,2245893048,270534265,331974678,849969183,2245893048
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877200000,39.3050772,-76.550193,39.304361,-76.5495009,"92242",4586770,1322,"Washington, DC-VA-MD","Rail",284786155,70850220,2744895,619,2245893048,270534265,331974678,849969183,2245893048
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877200000,39.3050772,-76.550193,39.304361,-76.5495009,"92242",4586770,1322,"Washington, DC-VA-MD","Non-Rail Bus",184184174,67812271,5644867,619,2245893048,270534265,331974678,849969183,2245893048
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877200000,39.3050772,-76.550193,39.304361,-76.5495009,"04843",2203663,717,"Baltimore, MD","Non-Rail Bus",81078227,25221396,1864129,823,579747335,96223780,342991918,11129406,579747335
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877200000,39.3050772,-76.550193,39.304361,-76.5495009,"04843",2203663,717,"Baltimore, MD","Rail",28632582,3578032,144952,823,579747335,96223780,342991918,11129406,579747335
12580,"Baltimore-Towson, MD Metro Area",2668056,2007,63699,6.2,3.8,NA,NA,141877200000,39.3050772,-76.550193,39.304361,-76.5495009,"04843",2203663,717,"Baltimore, MD","Non-Rail Other",1258131,10935299,796520,823,579747335,96223780,342991918,11129406,579747335
12700,"Barnstable Town, MA Metro Area",222175,2007,60015,1.7,3.1,NA,NA,8818500000,41.7732559,-70.238428,41.7304179,-70.2844952,"05167",246695,277,"Barnstable Town, MA","Non-Rail Bus",415878,1034927,75169,20,12864655,2118172,5946144,1196682,12864655
12700,"Barnstable Town, MA Metro Area",222175,2007,60015,1.7,3.1,NA,NA,8818500000,41.7732559,-70.238428,41.7304179,-70.2844952,"05167",246695,277,"Barnstable Town, MA","Non-Rail Other",366506,2598972,136153,20,12864655,2118172,5946144,1196682,12864655
12940,"Baton Rouge, LA Metro Area",770471,2007,44660,1.1,4,NA,NA,40228600000,30.5700387,-91.1306451,30.5708895,-91.134533,"05680",594309,367,"Baton Rouge, LA","Non-Rail Other",52887,459932,36619,3,14833727,4834495,1209953,3801664,14833727
12940,"Baton Rouge, LA Metro Area",770471,2007,44660,1.1,4,NA,NA,40228600000,30.5700387,-91.1306451,30.5708895,-91.134533,"05680",594309,367,"Baton Rouge, LA","Non-Rail Bus",3638946,2807858,189715,3,14833727,4834495,1209953,3801664,14833727
13020,"Bay City, MI Metro Area",107517,2007,42375,1,5.1,NA,NA,2939400000,43.7212025,-83.9416511,43.6997112,-83.9787007,"77149",126265,71,"Saginaw, MI","Non-Rail Other",24664,211643,16097,2,6062003,1721515,1916669,2169488,6062003
13020,"Bay City, MI Metro Area",107517,2007,42375,1,5.1,NA,NA,2939400000,43.7212025,-83.9416511,43.6997112,-83.9787007,"77149",126265,71,"Saginaw, MI","Non-Rail Bus",814085,719309,51549,2,6062003,1721515,1916669,2169488,6062003
13140,"Beaumont-Port Arthur, TX Metro Area",375644,2007,43583,0.6,4.3,NA,NA,19215300000,30.0760258,-94.2009036,30.0759278,-94.2027049,"06058",147922,92,"Beaumont, TX","Non-Rail Other",22640,201235,13492,0,5671226,2458501,876377,1731446,5671226
13140,"Beaumont-Port Arthur, TX Metro Area",375644,2007,43583,0.6,4.3,NA,NA,19215300000,30.0760258,-94.2009036,30.0759278,-94.2027049,"06058",147922,92,"Beaumont, TX","Non-Rail Bus",651843,731443,53087,0,5671226,2458501,876377,1731446,5671226
13380,"Bellingham, WA Metro Area",192999,2007,46506,3.1,4.7,NA,NA,8213800000,48.8312925,-121.8723276,48.8426531,-121.8364325,"06652",114473,48,"Bellingham, WA","Non-Rail Other",170903,725183,54241,20,28734740,2059321,1307052,22520308,28734740
