GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
310M300US10140,10140,"Aberdeen, WA Micro Area",,$*****
310M300US10300,10300,"Adrian, MI Micro Area",,$*****
310M300US10420,10420,"Akron, OH Metro Area",,$*****
310M300US10460,10460,"Alamogordo, NM Micro Area",,$*****
310M300US10540,10540,"Albany, OR Metro Area",,$*****
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",,$*****
310M300US10700,10700,"Albertville, AL Micro Area",,$*****
310M300US10780,10780,"Alexandria, LA Metro Area",,$*****
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",,$*****
310M300US11020,11020,"Altoona, PA Metro Area",,$*****
310M300US11180,11180,"Ames, IA Metro Area",,$*****
310M300US11260,11260,"Anchorage, AK Metro Area",,$*****
310M300US11460,11460,"Ann Arbor, MI Metro Area",,$*****
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",,$*****
310M300US11540,11540,"Appleton, WI Metro Area",,$*****
310M300US11700,11700,"Asheville, NC Metro Area",,$*****
310M300US11780,11780,"Ashtabula, OH Micro Area",,$*****
310M300US11900,11900,"Athens, OH Micro Area",,$*****
310M300US11980,11980,"Athens, TX Micro Area",,$*****
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",,$*****
310M300US12180,12180,"Auburn, NY Micro Area",,$*****
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",,$*****
310M300US12300,12300,"Augusta-Waterville, ME Micro Area",,$*****
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",,$*****
310M300US12540,12540,"Bakersfield, CA Metro Area",,$*****
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",,$*****
310M300US12620,12620,"Bangor, ME Metro Area",,$*****
310M300US12700,12700,"Barnstable Town, MA Metro Area",,$*****
310M300US12940,12940,"Baton Rouge, LA Metro Area",,$*****
310M300US12980,12980,"Battle Creek, MI Metro Area",,$*****
310M300US13020,13020,"Bay City, MI Metro Area",,$*****
310M300US13180,13180,"Beaver Dam, WI Micro Area",,$*****
310M300US13220,13220,"Beckley, WV Metro Area",,$*****
310M300US13380,13380,"Bellingham, WA Metro Area",,$*****
310M300US13460,13460,"Bend-Redmond, OR Metro Area",,$*****
310M300US13780,13780,"Binghamton, NY Metro Area",,$*****
310M300US13820,13820,"Birmingham-Hoover, AL Metro Area",,$*****
310M300US14020,14020,"Bloomington, IN Metro Area",,$*****
310M300US14100,14100,"Bloomsburg-Berwick, PA Metro Area",,$*****
310M300US14140,14140,"Bluefield, WV-VA Micro Area",,$*****
310M300US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",,$*****
310M300US14500,14500,"Boulder, CO Metro Area",,$*****
310M300US14580,14580,"Bozeman, MT Micro Area",,$*****
310M300US14660,14660,"Brainerd, MN Micro Area",,$*****
310M300US14700,14700,"Branson, MO Micro Area",,$*****
310M300US14740,14740,"Bremerton-Silverdale, WA Metro Area",,$*****
310M300US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",,$*****
310M300US15180,15180,"Brownsville-Harlingen, TX Metro Area",,$*****
