GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
3100000US10140,10140,"Aberdeen, WA Micro Area",,$*****
3100000US10300,10300,"Adrian, MI Micro Area",,$*****
3100000US10420,10420,"Akron, OH Metro Area",,$*****
3100000US10540,10540,"Albany-Lebanon, OR Micro Area",,$*****
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",,$*****
3100000US10700,10700,"Albertville, AL Micro Area",,$*****
3100000US10780,10780,"Alexandria, LA Metro Area",,$*****
3100000US10880,10880,"Allegan, MI Micro Area",,$*****
3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",,$*****
3100000US11020,11020,"Altoona, PA Metro Area",,$*****
3100000US11180,11180,"Ames, IA Metro Area",,$*****
3100000US11260,11260,"Anchorage, AK Metro Area",,$*****
3100000US11300,11300,"Anderson, IN Metro Area",,$*****
3100000US11340,11340,"Anderson, SC Metro Area",,$*****
3100000US11460,11460,"Ann Arbor, MI Metro Area",,$*****
3100000US11500,11500,"Anniston-Oxford, AL Metro Area",,$*****
3100000US11540,11540,"Appleton, WI Metro Area",,$*****
3100000US11700,11700,"Asheville, NC Metro Area",,$*****
3100000US11780,11780,"Ashtabula, OH Micro Area",,$*****
3100000US11980,11980,"Athens, TX Micro Area",,$*****
3100000US12020,12020,"Athens-Clarke County, GA Metro Area",,$*****
3100000US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",,$*****
3100000US12180,12180,"Auburn, NY Micro Area",,$*****
3100000US12220,12220,"Auburn-Opelika, AL Metro Area",,$*****
3100000US12300,12300,"Augusta-Waterville, ME Micro Area",,$*****
3100000US12420,12420,"Austin-Round Rock, TX Metro Area",,$*****
3100000US12540,12540,"Bakersfield, CA Metro Area",,$*****
3100000US12580,12580,"Baltimore-Towson, MD Metro Area",,$*****
3100000US12620,12620,"Bangor, ME Metro Area",,$*****
3100000US12700,12700,"Barnstable Town, MA Metro Area",,$*****
3100000US12940,12940,"Baton Rouge, LA Metro Area",,$*****
