GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
310M200US10140,10140,"Aberdeen, WA Micro Area",70818,
310M200US10180,10180,"Abilene, TX Metro Area",166900,2419
310M200US10300,10300,"Adrian, MI Micro Area",99047,
310M200US10420,10420,"Akron, OH Metro Area",703825,
310M200US10460,10460,"Alamogordo, NM Micro Area",65082,
310M200US10500,10500,"Albany, GA Metro Area",152596,1637
310M200US10540,10540,"Albany, OR Metro Area",119356,
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",880167,
310M200US10700,10700,"Albertville, AL Micro Area",94636,
310M200US10740,10740,"Albuquerque, NM Metro Area",905213,2468
310M200US10780,10780,"Alexandria, LA Metro Area",154872,
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",829835,
310M200US11020,11020,"Altoona, PA Metro Area",125955,
310M200US11100,11100,"Amarillo, TX Metro Area",261752,2264
310M200US11180,11180,"Ames, IA Metro Area",94073,
310M200US11260,11260,"Anchorage, AK Metro Area",398892,
310M200US11460,11460,"Ann Arbor, MI Metro Area",356874,
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",115916,
310M200US11540,11540,"Appleton, WI Metro Area",231497,
310M200US11700,11700,"Asheville, NC Metro Area",442316,
310M200US11780,11780,"Ashtabula, OH Micro Area",99175,
310M200US11980,11980,"Athens, TX Micro Area",79290,
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",197268,1997
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5611829,3945
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",275209,
310M200US12180,12180,"Auburn, NY Micro Area",78823,
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",154255,
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",583010,1296
310M200US12300,12300,"Augusta-Waterville, ME Micro Area",121112,
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",1943299,
310M200US12540,12540,"Bakersfield, CA Metro Area",874589,
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",2785874,
310M200US12620,12620,"Bangor, ME Metro Area",153414,
310M200US12700,12700,"Barnstable Town, MA Metro Area",214914,
310M200US12940,12940,"Baton Rouge, LA Metro Area",825478,
310M200US12980,12980,"Battle Creek, MI Metro Area",134878,
310M200US13020,13020,"Bay City, MI Metro Area",106179,
310M200US13140,13140,"Beaumont-Port Arthur, TX Metro Area",403958,2235
310M200US13180,13180,"Beaver Dam, WI Micro Area",88574,
310M200US13220,13220,"Beckley, WV Metro Area",123373,
310M200US13380,13380,"Bellingham, WA Metro Area",208351,
